log_prob_true,time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,log_px_z,kl_z,elbo,objective,time_forward
-5.606074333190918,5.155181884765625,16.444822311401367,-16.444822311401367,5.732357501983643,16.44482421875,-16.44482421875,0,19,,,,,,,,,,,
-5.606074333190918,5.638789653778076,9.862334251403809,-9.862334251403809,6.250062465667725,9.862333297729492,-9.862333297729492,1,39,38.85408020019531,0.03278636932373047,-5.300267696380615,-0.3110012412071228,38.85408020019531,0.03278636932373047,,,,,
,,18.884597778320312,,,,,2,49,,,,,,,-12.59566879272461,6.288928985595703,-18.884597778320312,-18.884597778320312,7.3539557456970215
-5.606074333190918,4.735088348388672,10.382600784301758,-10.382600784301758,5.308377265930176,10.382600784301758,-10.382600784301758,2,59,,,,,,,,,,,
-5.606074333190918,4.852771759033203,10.086593627929688,-10.086593627929688,5.472309112548828,10.086593627929688,-10.086593627929688,3,79,,,,,,,,,,,
,,17.45266342163086,,,,,4,99,,,,,,,-11.494229316711426,5.958434581756592,-17.45266342163086,-17.45266342163086,9.68181037902832
-5.606074333190918,4.564761638641357,9.8743896484375,-9.8743896484375,5.0477824211120605,9.874388694763184,-9.874388694763184,4,99,,,,,,,,,,,
-5.606074333190918,4.530811309814453,9.811643600463867,-9.811643600463867,5.049127101898193,9.811643600463867,-9.811643600463867,5,119,,,,,,,,,,,
-5.606074333190918,4.888725280761719,9.871196746826172,-9.871196746826172,5.625711917877197,9.871196746826172,-9.871196746826172,6,139,,,,,,,,,,,
,,16.839618682861328,,,,,7,149,,,,,,,-10.829146385192871,6.01047420501709,-16.839618682861328,-16.839618682861328,6.390269756317139
-5.606074333190918,4.610443115234375,10.006061553955078,-10.006061553955078,5.139467239379883,10.006060600280762,-10.006060600280762,7,159,,,,,,,,,,,
-5.606074333190918,4.864596843719482,9.826985359191895,-9.826985359191895,5.351896286010742,9.826985359191895,-9.826985359191895,8,179,,,,,,,,,,,
,,17.15425682067871,,,,,9,199,,,,,,,-11.298505783081055,5.855752468109131,-17.15425682067871,-17.15425682067871,13.681018829345703
-5.606074333190918,5.059337615966797,9.7251615524292,-9.7251615524292,5.577359676361084,9.7251615524292,-9.7251615524292,9,199,,,,,,,,,,,
-5.606074333190918,4.864501953125,9.887593269348145,-9.887593269348145,5.357417583465576,9.887592315673828,-9.887592315673828,10,219,,,,,,,,,,,
-5.606074333190918,4.786109924316406,9.633285522460938,-9.633285522460938,5.279773235321045,9.633285522460938,-9.633285522460938,11,239,40.04663848876953,0.030740022659301758,-5.149668216705322,-0.46160030364990234,40.04663848876953,0.030740022659301758,,,,,
,,16.480009078979492,,,,,12,249,,,,,,,-10.492714881896973,5.987296104431152,-16.480009078979492,-16.480009078979492,5.353475093841553
-5.606074333190918,5.960940837860107,9.497570991516113,-9.497570991516113,6.611917495727539,9.49757194519043,-9.49757194519043,12,259,,,,,,,,,,,
-5.606074333190918,5.164909362792969,9.728799819946289,-9.728799819946289,5.760702610015869,9.728799819946289,-9.728799819946289,13,279,,,,,,,,,,,
,,17.465213775634766,,,,,14,299,,,,,,,-11.485313415527344,5.979900360107422,-17.465213775634766,-17.465213775634766,8.561155319213867
-5.606074333190918,4.493904113769531,9.47555160522461,-9.47555160522461,4.982457637786865,9.47555160522461,-9.47555160522461,14,299,,,,,,,,,,,
-5.606074333190918,4.945946216583252,10.163908958435059,-10.163908958435059,5.419374942779541,10.163908958435059,-10.163908958435059,15,319,,,,,,,,,,,
-5.606074333190918,4.988193511962891,9.951774597167969,-9.951774597167969,5.518184661865234,9.951775550842285,-9.951775550842285,16,339,,,,,,,,,,,
,,16.64434814453125,,,,,17,349,,,,,,,-10.656913757324219,5.9874348640441895,-16.64434814453125,-16.64434814453125,6.405636787414551
-5.606074333190918,4.676151275634766,9.526163101196289,-9.526163101196289,5.178601264953613,9.526163101196289,-9.526163101196289,17,359,,,,,,,,,,,
-5.606074333190918,5.575466632843018,10.053911209106445,-10.053911209106445,6.132333278656006,10.053910255432129,-10.053910255432129,18,379,,,,,,,,,,,
,,16.995756149291992,,,,,19,399,,,,,,,-11.039122581481934,5.956633567810059,-16.995756149291992,-16.995756149291992,8.744352340698242
-5.606074333190918,4.5318603515625,9.901891708374023,-9.901891708374023,5.027685642242432,9.901890754699707,-9.901890754699707,19,399,,,,,,,,,,,
-5.606074333190918,4.674243927001953,10.32372760772705,-10.32372760772705,5.179210186004639,10.32372760772705,-10.32372760772705,20,419,,,,,,,,,,,
-5.606074333190918,4.81290864944458,10.01941967010498,-10.01941967010498,5.326037883758545,10.019420623779297,-10.019420623779297,21,439,40.1395378112793,0.03252279758453369,-5.157361030578613,-0.4539076089859009,40.1395378112793,0.03252279758453369,,,,,
,,16.771974563598633,,,,,22,449,,,,,,,-10.5944185256958,6.177557468414307,-16.771974563598633,-16.771974563598633,5.245441436767578
-5.606074333190918,4.592132568359375,10.027055740356445,-10.027055740356445,5.112878322601318,10.027056694030762,-10.027056694030762,22,459,,,,,,,,,,,
-5.606074333190918,5.077075958251953,9.850412368774414,-9.850412368774414,5.651018142700195,9.850412368774414,-9.850412368774414,23,479,,,,,,,,,,,
,,17.051773071289062,,,,,24,499,,,,,,,-10.858278274536133,6.193495750427246,-17.051773071289062,-17.051773071289062,10.688515663146973
-5.606074333190918,5.129051208496094,9.994215965270996,-9.994215965270996,5.806164264678955,9.994216918945312,-9.994216918945312,24,499,,,,,,,,,,,
-5.606074333190918,5.957698345184326,10.298535346984863,-10.298535346984863,6.50811767578125,10.298535346984863,-10.298535346984863,25,519,,,,,,,,,,,
-5.606074333190918,5.1883697509765625,10.505256652832031,-10.505256652832031,5.63296365737915,10.505256652832031,-10.505256652832031,26,539,,,,,,,,,,,
,,16.640268325805664,,,,,27,549,,,,,,,-10.449164390563965,6.191104412078857,-16.640268325805664,-16.640268325805664,6.147892951965332
-5.606074333190918,5.037975311279297,10.615975379943848,-10.615975379943848,5.5209832191467285,10.615975379943848,-10.615975379943848,27,559,,,,,,,,,,,
-5.606074333190918,5.007744312286377,10.112808227539062,-10.112808227539062,5.485184192657471,10.112808227539062,-10.112808227539062,28,579,,,,,,,,,,,
,,16.59250259399414,,,,,29,599,,,,,,,-10.734719276428223,5.85778284072876,-16.59250259399414,-16.59250259399414,9.511761665344238
