log_prob_true,time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,log_px_z,kl_z,elbo,objective,time_forward
-5.606074333190918,5.124474048614502,15.91154670715332,-15.91154670715332,5.602769374847412,15.91154670715332,-15.91154670715332,0,19,,,,,,,,,,,
-5.606074333190918,5.522632598876953,10.598605155944824,-10.598605155944824,6.068416595458984,10.598605155944824,-10.598605155944824,1,39,40.550018310546875,0.031749725341796875,-4.8951873779296875,-0.716080904006958,40.550018310546875,0.031749725341796875,,,,,
,,19.141700744628906,,,,,2,49,,,,,,,-12.680516242980957,6.461183071136475,-19.141700744628906,-19.141700744628906,6.884103775024414
-5.606074333190918,4.609013080596924,10.322966575622559,-10.322966575622559,5.11816930770874,10.322966575622559,-10.322966575622559,2,59,,,,,,,,,,,
-5.606074333190918,4.707145690917969,10.133086204528809,-10.133086204528809,5.318637847900391,10.133086204528809,-10.133086204528809,3,79,,,,,,,,,,,
,,17.558446884155273,,,,,4,99,,,,,,,-11.437605857849121,6.120840549468994,-17.558446884155273,-17.558446884155273,10.735848426818848
-5.606074333190918,4.752159595489502,10.105523109436035,-10.105523109436035,5.277679920196533,10.105523109436035,-10.105523109436035,4,99,,,,,,,,,,,
-5.606074333190918,4.951476573944092,10.06944465637207,-10.06944465637207,5.789333343505859,10.06944465637207,-10.06944465637207,5,119,,,,,,,,,,,
-5.606074333190918,4.961109161376953,10.059284210205078,-10.059284210205078,5.625885009765625,10.059283256530762,-10.059283256530762,6,139,,,,,,,,,,,
,,17.33211898803711,,,,,7,149,,,,,,,-11.099401473999023,6.232719898223877,-17.33211898803711,-17.33211898803711,8.82404899597168
-5.606074333190918,4.770374298095703,10.102376937866211,-10.102376937866211,5.384432315826416,10.102376937866211,-10.102376937866211,7,159,,,,,,,,,,,
-5.606074333190918,5.158710479736328,9.934330940246582,-9.934330940246582,5.617175579071045,9.934329986572266,-9.934329986572266,8,179,,,,,,,,,,,
,,17.696474075317383,,,,,9,199,,,,,,,-11.479125022888184,6.217349529266357,-17.696474075317383,-17.696474075317383,9.125646591186523
-5.606074333190918,4.655838489532471,9.957053184509277,-9.957053184509277,5.205088138580322,9.957053184509277,-9.957053184509277,9,199,,,,,,,,,,,
-5.606074333190918,4.714679718017578,10.388713836669922,-10.388713836669922,5.230384349822998,10.388713836669922,-10.388713836669922,10,219,,,,,,,,,,,
-5.606074333190918,4.841804504394531,9.67202377319336,-9.67202377319336,5.362223148345947,9.67202377319336,-9.67202377319336,11,239,40.16770935058594,0.026088595390319824,-4.847507476806641,-0.7637611627578735,40.16770935058594,0.026088595390319824,,,,,
,,16.934326171875,,,,,12,249,,,,,,,-10.621047019958496,6.3132805824279785,-16.934326171875,-16.934326171875,5.356501579284668
-5.606074333190918,4.719829559326172,9.616348266601562,-9.616348266601562,5.337602615356445,9.616348266601562,-9.616348266601562,12,259,,,,,,,,,,,
-5.606074333190918,4.616069793701172,10.13123893737793,-10.13123893737793,5.151412487030029,10.131237983703613,-10.131237983703613,13,279,,,,,,,,,,,
,,17.714200973510742,,,,,14,299,,,,,,,-11.55081558227539,6.163386821746826,-17.714200973510742,-17.714200973510742,10.490856170654297
-5.606074333190918,4.626750946044922,10.191618919372559,-10.191618919372559,5.161381244659424,10.191618919372559,-10.191618919372559,14,299,,,,,,,,,,,
-5.606074333190918,4.609489440917969,10.332647323608398,-10.332647323608398,5.116003513336182,10.332646369934082,-10.332646369934082,15,319,,,,,,,,,,,
-5.606074333190918,4.845047473907471,10.121787071228027,-10.121787071228027,5.390495777130127,10.121786117553711,-10.121786117553711,16,339,,,,,,,,,,,
,,17.074064254760742,,,,,17,349,,,,,,,-10.7225923538208,6.351469993591309,-17.074064254760742,-17.074064254760742,5.292007923126221
-5.606074333190918,4.696178436279297,9.867937088012695,-9.867937088012695,5.309516429901123,9.867938041687012,-9.867938041687012,17,359,,,,,,,,,,,
-5.606074333190918,6.585978984832764,10.370828628540039,-10.370828628540039,6.763761043548584,10.370828628540039,-10.370828628540039,18,379,,,,,,,,,,,
,,17.578975677490234,,,,,19,399,,,,,,,-11.303163528442383,6.27581262588501,-17.578975677490234,-17.578975677490234,9.060344696044922
-5.606074333190918,4.7557830810546875,10.509066581726074,-10.509066581726074,5.318933010101318,10.509065628051758,-10.509065628051758,19,399,,,,,,,,,,,
-5.606074333190918,5.092430591583252,10.351244926452637,-10.351244926452637,5.580030918121338,10.35124683380127,-10.35124683380127,20,419,,,,,,,,,,,
-5.606074333190918,5.0884246826171875,10.272899627685547,-10.272899627685547,5.5300211906433105,10.272899627685547,-10.272899627685547,21,439,40.646175384521484,0.0277864933013916,-4.857639312744141,-0.7536291480064392,40.646175384521484,0.0277864933013916,,,,,
,,17.040075302124023,,,,,22,449,,,,,,,-10.560999870300293,6.479074478149414,-17.040075302124023,-17.040075302124023,5.526002407073975
-5.606074333190918,5.303764343261719,10.088324546813965,-10.088324546813965,6.072587966918945,10.088324546813965,-10.088324546813965,22,459,,,,,,,,,,,
-5.606074333190918,4.6154022216796875,9.884093284606934,-9.884093284606934,5.151261806488037,9.88409423828125,-9.88409423828125,23,479,,,,,,,,,,,
,,17.355192184448242,,,,,24,499,,,,,,,-10.792665481567383,6.562526702880859,-17.355192184448242,-17.355192184448242,10.480775833129883
-5.606074333190918,4.5154571533203125,10.111248016357422,-10.111248016357422,5.012176036834717,10.111248016357422,-10.111248016357422,24,499,,,,,,,,,,,
-5.606074333190918,5.005073547363281,10.15263843536377,-10.15263843536377,5.469850540161133,10.152637481689453,-10.152637481689453,25,519,,,,,,,,,,,
-5.606074333190918,4.716205596923828,10.007179260253906,-10.007179260253906,5.2445902824401855,10.007179260253906,-10.007179260253906,26,539,,,,,,,,,,,
,,17.145320892333984,,,,,27,549,,,,,,,-10.744117736816406,6.40120267868042,-17.145320892333984,-17.145320892333984,6.490386962890625
-5.606074333190918,4.844379901885986,10.836581230163574,-10.836581230163574,5.344479084014893,10.836580276489258,-10.836580276489258,27,559,,,,,,,,,,,
-5.606074333190918,4.4712066650390625,10.548482894897461,-10.548482894897461,4.881584167480469,10.548481941223145,-10.548481941223145,28,579,,,,,,,,,,,
,,16.932706832885742,,,,,29,599,,,,,,,-10.61464786529541,6.318058013916016,-16.932706832885742,-16.932706832885742,12.319315910339355
-5.606074333190918,5.2188873291015625,10.457334518432617,-10.457334518432617,5.744326114654541,10.457334518432617,-10.457334518432617,29,599,,,,,,,,,,,
-5.606074333190918,4.879570484161377,10.942850112915039,-10.942850112915039,5.352394104003906,10.942851066589355,-10.942851066589355,30,619,,,,,,,,,,,
-5.606074333190918,5.243778705596924,10.684042930603027,-10.684042930603027,5.71508264541626,10.684042930603027,-10.684042930603027,31,639,40.66596603393555,0.029120683670043945,-4.838994026184082,-0.7722748517990112,40.66596603393555,0.029120683670043945,,,,,
,,16.618452072143555,,,,,32,649,,,,,,,-9.943138122558594,6.675313472747803,-16.618452072143555,-16.618452072143555,6.0410237312316895
-5.606074333190918,5.22003173828125,10.688377380371094,-10.688377380371094,5.678373336791992,10.688376426696777,-10.688376426696777,32,659,,,,,,,,,,,
-5.606074333190918,5.278682708740234,10.60385799407959,-10.60385799407959,5.739755153656006,10.603857040405273,-10.603857040405273,33,679,,,,,,,,,,,
,,15.900638580322266,,,,,34,699,,,,,,,-9.440292358398438,6.460346221923828,-15.900638580322266,-15.900638580322266,9.48239803314209
-5.606074333190918,5.438995361328125,10.147726058959961,-10.147726058959961,5.9627366065979,10.147725105285645,-10.147725105285645,34,699,,,,,,,,,,,
-5.606074333190918,5.267620086669922,10.511131286621094,-10.511131286621094,5.729475498199463,10.511131286621094,-10.511131286621094,35,719,,,,,,,,,,,
-5.606074333190918,5.916404724121094,10.333296775817871,-10.333296775817871,6.456539154052734,10.333295822143555,-10.333295822143555,36,739,,,,,,,,,,,
,,16.25119400024414,,,,,37,749,,,,,,,-9.992631912231445,6.258562088012695,-16.25119400024414,-16.25119400024414,6.68549919128418
-5.606074333190918,4.60205078125,10.76933479309082,-10.76933479309082,5.114860534667969,10.76933479309082,-10.76933479309082,37,759,,,,,,,,,,,
-5.606074333190918,4.625892639160156,10.493326187133789,-10.493326187133789,5.123066425323486,10.493326187133789,-10.493326187133789,38,779,,,,,,,,,,,
,,17.11942481994629,,,,,39,799,,,,,,,-10.672264099121094,6.447161674499512,-17.11942481994629,-17.11942481994629,15.669447898864746
-5.606074333190918,4.819583415985107,9.793212890625,-9.793212890625,5.331862926483154,9.793211936950684,-9.793211936950684,39,799,,,,,,,,,,,
-5.606074333190918,5.046558380126953,10.018122673034668,-10.018122673034668,5.485146999359131,10.018123626708984,-10.018123626708984,40,819,,,,,,,,,,,
-5.606074333190918,5.027485370635986,10.218879699707031,-10.218879699707031,5.480918884277344,10.218879699707031,-10.218879699707031,41,839,40.369110107421875,0.025392651557922363,-4.859816551208496,-0.7514525055885315,40.369110107421875,0.025392651557922363,,,,,
,,16.152217864990234,,,,,42,849,,,,,,,-9.775008201599121,6.377209186553955,-16.152217864990234,-16.152217864990234,5.950220108032227
-5.606074333190918,4.9503326416015625,10.476383209228516,-10.476383209228516,5.42991828918457,10.476383209228516,-10.476383209228516,42,859,,,,,,,,,,,
-5.606074333190918,5.019664287567139,10.149138450622559,-10.149138450622559,5.542814254760742,10.149138450622559,-10.149138450622559,43,879,,,,,,,,,,,
,,17.344865798950195,,,,,44,899,,,,,,,-10.719608306884766,6.625259876251221,-17.344865798950195,-17.344865798950195,8.79124641418457
-5.606074333190918,6.466292858123779,10.47330093383789,-10.47330093383789,6.655261993408203,10.473299980163574,-10.473299980163574,44,899,,,,,,,,,,,
