log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,log_px_z,kl_z,elbo,objective,time_forward
-13.53038215637207,6.9183349609375,25.436304092407227,-25.436304092407227,-13.530383110046387,7.57117223739624,25.436304092407227,-25.436304092407227,0,19,,,,,,,,,,,,,
-13.53038215637207,7.931613445281982,19.729665756225586,-19.729665756225586,-13.530383110046387,8.559308052062988,19.72966957092285,-19.72966957092285,1,39,42.329776763916016,0.029824018478393555,-12.128898620605469,-1.3636823892593384,42.329776763916016,0.029824018478393555,-12.128898620605469,-1.3636822700500488,,,,,
,,35.131229400634766,,,,,,2,49,,,,,,,,,-23.401731491088867,11.729497909545898,-35.131229400634766,-35.131229400634766,11.096242904663086
-13.53038215637207,7.371425628662109,18.79597282409668,-18.79597282409668,-13.530383110046387,7.996469974517822,18.795974731445312,-18.795974731445312,2,59,,,,,,,,,,,,,
-13.53038215637207,10.177229881286621,18.679914474487305,-18.679914474487305,-13.530383110046387,13.087013244628906,18.679912567138672,-18.679912567138672,3,79,,,,,,,,,,,,,
,,32.82691955566406,,,,,,4,99,,,,,,,,,-21.984853744506836,10.842063903808594,-32.82691955566406,-32.82691955566406,17.440933227539062
-13.53038215637207,8.273696899414062,18.531450271606445,-18.531450271606445,-13.530383110046387,8.845749855041504,18.531450271606445,-18.531450271606445,4,99,,,,,,,,,,,,,
-13.53038215637207,7.3894500732421875,19.28107452392578,-19.28107452392578,-13.530383110046387,8.022040367126465,19.28107452392578,-19.28107452392578,5,119,,,,,,,,,,,,,
-13.53038215637207,8.17718505859375,18.63868522644043,-18.63868522644043,-13.530383110046387,8.853047370910645,18.63868522644043,-18.63868522644043,6,139,,,,,,,,,,,,,
,,32.51958465576172,,,,,,7,149,,,,,,,,,-21.274084091186523,11.245502471923828,-32.51958465576172,-32.51958465576172,12.812670707702637
-13.53038215637207,7.81831693649292,18.630861282348633,-18.630861282348633,-13.530383110046387,8.793278694152832,18.630861282348633,-18.630861282348633,7,159,,,,,,,,,,,,,
-13.53038215637207,7.6793670654296875,19.680950164794922,-19.680950164794922,-13.530383110046387,8.416396141052246,19.680952072143555,-19.680952072143555,8,179,,,,,,,,,,,,,
,,31.0341796875,,,,,,9,199,,,,,,,,,-20.402782440185547,10.631401062011719,-31.0341796875,-31.0341796875,13.514476776123047
-13.53038215637207,7.673550128936768,19.32550048828125,-19.32550048828125,-13.530383110046387,8.369723320007324,19.32550048828125,-19.32550048828125,9,199,,,,,,,,,,,,,
-13.53038215637207,7.50608491897583,18.178556442260742,-18.178556442260742,-13.530383110046387,8.105761528015137,18.178556442260742,-18.178556442260742,10,219,,,,,,,,,,,,,
-13.53038215637207,7.71331787109375,19.505483627319336,-19.505483627319336,-13.530383110046387,8.266650199890137,19.505483627319336,-19.505483627319336,11,239,39.87900161743164,0.01795649528503418,-12.327825546264648,-1.1647547483444214,39.87900161743164,0.01795649528503418,-12.327825546264648,-1.1647547483444214,,,,,
,,30.00369644165039,,,,,,12,249,,,,,,,,,-19.447505950927734,10.55618667602539,-30.00369644165039,-30.00369644165039,9.126495361328125
-13.53038215637207,7.869148254394531,19.17499351501465,-19.17499351501465,-13.530383110046387,8.649608612060547,19.174991607666016,-19.174991607666016,12,259,,,,,,,,,,,,,
-13.53038215637207,7.955074310302734,19.47881317138672,-19.47881317138672,-13.530383110046387,8.603150367736816,19.478811264038086,-19.478811264038086,13,279,,,,,,,,,,,,,
,,31.624862670898438,,,,,,14,299,,,,,,,,,-20.835613250732422,10.789247512817383,-31.624862670898438,-31.624862670898438,13.349248886108398
-13.53038215637207,7.477283000946045,19.586788177490234,-19.586788177490234,-13.530383110046387,8.070733070373535,19.586788177490234,-19.586788177490234,14,299,,,,,,,,,,,,,
-13.53038215637207,7.50331974029541,18.919639587402344,-18.919639587402344,-13.530383110046387,8.095555305480957,18.919641494750977,-18.919641494750977,15,319,,,,,,,,,,,,,
-13.53038215637207,7.652569770812988,18.39620590209961,-18.39620590209961,-13.530383110046387,8.322792053222656,18.39620590209961,-18.39620590209961,16,339,,,,,,,,,,,,,
,,29.783214569091797,,,,,,17,349,,,,,,,,,-19.596681594848633,10.186530113220215,-29.783214569091797,-29.783214569091797,9.306706428527832
-13.53038215637207,7.451820373535156,20.048215866088867,-20.048215866088867,-13.530383110046387,8.053939819335938,20.0482177734375,-20.0482177734375,17,359,,,,,,,,,,,,,
-13.53038215637207,7.730865001678467,18.77007484436035,-18.77007484436035,-13.530383110046387,8.376296043395996,18.77007484436035,-18.77007484436035,18,379,,,,,,,,,,,,,
,,28.743791580200195,,,,,,19,399,,,,,,,,,-18.732830047607422,10.010966300964355,-28.743791580200195,-28.743791580200195,13.137126922607422
