log_prob_true,time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,log_px_z,kl_z,elbo,objective,time_forward
-5.606074333190918,4.737090587615967,15.922365188598633,-15.922365188598633,5.287221431732178,15.922367095947266,-15.922367095947266,0,19,,,,,,,,,,,
-5.606074333190918,4.765987396240234,9.633749961853027,-9.633749961853027,5.305139064788818,9.633750915527344,-9.633750915527344,1,39,41.253631591796875,0.041592955589294434,-6.284344673156738,0.6730764508247375,41.253631591796875,0.041592955589294434,,,,,
,,18.35601043701172,,,,,2,49,,,,,,,-12.32303524017334,6.032972812652588,-18.35601043701172,-18.35601043701172,5.726702690124512
-5.606074333190918,4.6634674072265625,10.070751190185547,-10.070751190185547,5.186448574066162,10.07075023651123,-10.07075023651123,2,59,,,,,,,,,,,
-5.606074333190918,4.673576354980469,9.67859935760498,-9.67859935760498,5.200077533721924,9.678597450256348,-9.678597450256348,3,79,,,,,,,,,,,
,,16.957416534423828,,,,,4,99,,,,,,,-11.244575500488281,5.71284294128418,-16.957416534423828,-16.957416534423828,8.824555397033691
-5.606074333190918,5.707550048828125,9.707275390625,-9.707275390625,5.985544681549072,9.707275390625,-9.707275390625,4,99,,,,,,,,,,,
-5.606074333190918,4.790210723876953,9.407687187194824,-9.407687187194824,5.366396427154541,9.407687187194824,-9.407687187194824,5,119,,,,,,,,,,,
-5.606074333190918,4.641532897949219,9.570396423339844,-9.570396423339844,5.249527454376221,9.57039737701416,-9.57039737701416,6,139,,,,,,,,,,,
,,16.360572814941406,,,,,7,149,,,,,,,-10.78028678894043,5.580284118652344,-16.360572814941406,-16.360572814941406,5.538808345794678
-5.606074333190918,4.543876647949219,9.657029151916504,-9.657029151916504,5.053866863250732,9.657029151916504,-9.657029151916504,7,159,,,,,,,,,,,
-5.606074333190918,4.609107971191406,9.523580551147461,-9.523580551147461,5.1762919425964355,9.523579597473145,-9.523579597473145,8,179,,,,,,,,,,,
,,16.409238815307617,,,,,9,199,,,,,,,-10.86148738861084,5.547752857208252,-16.409238815307617,-16.409238815307617,9.316731452941895
-5.606074333190918,4.600429534912109,9.140385627746582,-9.140385627746582,5.176398754119873,9.140384674072266,-9.140384674072266,9,199,,,,,,,,,,,
-5.606074333190918,4.829597473144531,9.640817642211914,-9.640817642211914,5.333922863006592,9.640817642211914,-9.640817642211914,10,219,,,,,,,,,,,
-5.606074333190918,4.928016662597656,9.150038719177246,-9.150038719177246,5.471374034881592,9.150038719177246,-9.150038719177246,11,239,39.992855072021484,0.04054760932922363,-6.0100321769714355,0.39876335859298706,39.992855072021484,0.04054760932922363,,,,,
,,15.9890775680542,,,,,12,249,,,,,,,-10.384576797485352,5.604500770568848,-15.9890775680542,-15.9890775680542,5.4184346199035645
-5.606074333190918,4.820537567138672,9.19771671295166,-9.19771671295166,5.355621337890625,9.19771671295166,-9.19771671295166,12,259,,,,,,,,,,,
-5.606074333190918,5.052661895751953,9.44834041595459,-9.44834041595459,5.521934986114502,9.44834041595459,-9.44834041595459,13,279,,,,,,,,,,,
,,17.116666793823242,,,,,14,299,,,,,,,-11.429183006286621,5.6874847412109375,-17.116666793823242,-17.116666793823242,9.093652725219727
-5.606074333190918,4.951953887939453,9.255022048950195,-9.255022048950195,5.41090726852417,9.255022048950195,-9.255022048950195,14,299,,,,,,,,,,,
-5.606074333190918,5.020236492156982,9.94859504699707,-9.94859504699707,5.501636981964111,9.94859504699707,-9.94859504699707,15,319,,,,,,,,,,,
-5.606074333190918,4.968547821044922,9.561320304870605,-9.561320304870605,5.512411594390869,9.561319351196289,-9.561319351196289,16,339,,,,,,,,,,,
,,16.249814987182617,,,,,17,349,,,,,,,-10.595290184020996,5.654526710510254,-16.249814987182617,-16.249814987182617,6.608897686004639
-5.606074333190918,4.841614246368408,9.651861190795898,-9.651861190795898,5.428264617919922,9.651861190795898,-9.651861190795898,17,359,,,,,,,,,,,
-5.606074333190918,4.607582092285156,9.564980506896973,-9.564980506896973,5.1689605712890625,9.564981460571289,-9.564981460571289,18,379,,,,,,,,,,,
,,16.21306037902832,,,,,19,399,,,,,,,-10.723699569702148,5.489360332489014,-16.21306037902832,-16.21306037902832,8.800889015197754
-5.606074333190918,4.643821716308594,9.726613998413086,-9.726613998413086,5.153371810913086,9.72661304473877,-9.72661304473877,19,399,,,,,,,,,,,
-5.606074333190918,4.669857025146484,9.826549530029297,-9.826549530029297,5.184282302856445,9.826549530029297,-9.826549530029297,20,419,,,,,,,,,,,
-5.606074333190918,4.813004016876221,9.402724266052246,-9.402724266052246,5.345463275909424,9.402724266052246,-9.402724266052246,21,439,40.0771369934082,0.041393160820007324,-5.9633564949035645,0.35208797454833984,40.0771369934082,0.041393160820007324,,,,,
,,16.328632354736328,,,,,22,449,,,,,,,-10.495518684387207,5.8331146240234375,-16.328632354736328,-16.328632354736328,5.284557342529297
-5.606074333190918,4.628467559814453,9.86120891571045,-9.86120891571045,5.168278217315674,9.86120891571045,-9.86120891571045,22,459,,,,,,,,,,,
-5.606074333190918,4.6367645263671875,9.534896850585938,-9.534896850585938,5.202530384063721,9.534896850585938,-9.534896850585938,23,479,,,,,,,,,,,
,,16.4447021484375,,,,,24,499,,,,,,,-10.707169532775879,5.73753023147583,-16.4447021484375,-16.4447021484375,9.028788566589355
-5.606074333190918,5.582427501678467,9.890414237976074,-9.890414237976074,5.9037556648254395,9.890414237976074,-9.890414237976074,24,499,,,,,,,,,,,
-5.606074333190918,4.939460754394531,9.927099227905273,-9.927099227905273,5.438257694244385,9.927099227905273,-9.927099227905273,25,519,,,,,,,,,,,
-5.606074333190918,4.651546478271484,9.968426704406738,-9.968426704406738,5.180283069610596,9.968427658081055,-9.968427658081055,26,539,,,,,,,,,,,
,,16.174943923950195,,,,,27,549,,,,,,,-10.415179252624512,5.759764194488525,-16.174943923950195,-16.174943923950195,5.330424785614014
-5.606074333190918,4.578876495361328,9.911924362182617,-9.911924362182617,5.095902919769287,9.911924362182617,-9.911924362182617,27,559,,,,,,,,,,,
-5.606074333190918,4.604053497314453,9.974925994873047,-9.974925994873047,5.1404547691345215,9.97492504119873,-9.97492504119873,28,579,,,,,,,,,,,
,,15.834932327270508,,,,,29,599,,,,,,,-10.240160942077637,5.594772815704346,-15.834932327270508,-15.834932327270508,8.936752319335938
-5.606074333190918,4.730129241943359,10.004135131835938,-10.004135131835938,5.237948894500732,10.004135131835938,-10.004135131835938,29,599,,,,,,,,,,,
-5.606074333190918,4.862117767333984,10.598167419433594,-10.598167419433594,5.34437894821167,10.59816837310791,-10.59816837310791,30,619,,,,,,,,,,,
-5.606074333190918,7.066917419433594,10.00753402709961,-10.00753402709961,7.2300872802734375,10.007534980773926,-10.007534980773926,31,639,40.70112609863281,0.04378807544708252,-5.8648786544799805,0.25360992550849915,40.70112609863281,0.04378807544708252,,,,,
,,15.629999160766602,,,,,32,649,,,,,,,-9.307589530944824,6.322408676147461,-15.629999160766602,-15.629999160766602,6.0193705558776855
-5.606074333190918,5.254077911376953,10.680479049682617,-10.680479049682617,5.740749835968018,10.6804780960083,-10.6804780960083,32,659,,,,,,,,,,,
-5.606074333190918,5.470752716064453,9.768735885620117,-9.768735885620117,5.882410526275635,9.768733978271484,-9.768733978271484,33,679,,,,,,,,,,,
,,15.079482078552246,,,,,34,699,,,,,,,-9.445884704589844,5.633599758148193,-15.079482078552246,-15.079482078552246,9.26589298248291
-5.606074333190918,5.296897888183594,9.955836296081543,-9.955836296081543,5.8825531005859375,9.955836296081543,-9.955836296081543,34,699,,,,,,,,,,,
-5.606074333190918,5.226421356201172,9.848909378051758,-9.848909378051758,5.696046352386475,9.84891128540039,-9.84891128540039,35,719,,,,,,,,,,,
-5.606074333190918,5.110645294189453,10.438664436340332,-10.438664436340332,5.596229553222656,10.438664436340332,-10.438664436340332,36,739,,,,,,,,,,,
,,15.232586860656738,,,,,37,749,,,,,,,-9.516627311706543,5.715958118438721,-15.232586860656738,-15.232586860656738,6.017275333404541
-5.606074333190918,5.352783203125,10.342779159545898,-10.342779159545898,5.799665927886963,10.342780113220215,-10.342780113220215,37,759,,,,,,,,,,,
-5.606074333190918,4.459381103515625,10.016735076904297,-10.016735076904297,4.754889011383057,10.01673412322998,-10.01673412322998,38,779,,,,,,,,,,,
,,15.516125679016113,,,,,39,799,,,,,,,-9.88219928741455,5.633926868438721,-15.516125679016113,-15.516125679016113,8.268391609191895
-5.606074333190918,6.092357635498047,9.559849739074707,-9.559849739074707,6.656497955322266,9.55984878540039,-9.55984878540039,39,799,,,,,,,,,,,
-5.606074333190918,5.410576343536377,9.437103271484375,-9.437103271484375,5.846796035766602,9.437104225158691,-9.437104225158691,40,819,,,,,,,,,,,
-5.606074333190918,5.4470062255859375,10.103201866149902,-10.103201866149902,5.9328179359436035,10.103201866149902,-10.103201866149902,41,839,40.774234771728516,0.04489457607269287,-5.896183967590332,0.28491494059562683,40.774234771728516,0.04489457607269287,,,,,
,,15.151333808898926,,,,,42,849,,,,,,,-9.174681663513184,5.976650714874268,-15.151333808898926,-15.151333808898926,8.87177848815918
-5.606074333190918,4.639625549316406,9.90701675415039,-9.90701675415039,5.177064418792725,9.90701675415039,-9.90701675415039,42,859,,,,,,,,,,,
-5.606074333190918,4.644298553466797,9.886373519897461,-9.886373519897461,5.189509868621826,9.886373519897461,-9.886373519897461,43,879,,,,,,,,,,,
,,16.494186401367188,,,,,44,899,,,,,,,-10.43247127532959,6.061713695526123,-16.494186401367188,-16.494186401367188,8.660642623901367
-5.606074333190918,4.784584045410156,10.14573860168457,-10.14573860168457,5.290611743927002,10.145739555358887,-10.145739555358887,44,899,,,,,,,,,,,
-5.606074333190918,5.037117004394531,9.384817123413086,-9.384817123413086,5.5115437507629395,9.384817123413086,-9.384817123413086,45,919,,,,,,,,,,,
-5.606074333190918,5.1055908203125,10.174004554748535,-10.174004554748535,5.597517490386963,10.174004554748535,-10.174004554748535,46,939,,,,,,,,,,,
,,15.880745887756348,,,,,47,949,,,,,,,-10.104159355163574,5.776585578918457,-15.880745887756348,-15.880745887756348,5.488516807556152
-5.606074333190918,4.628181457519531,10.35588550567627,-10.35588550567627,5.178260326385498,10.35588550567627,-10.35588550567627,47,959,,,,,,,,,,,
-5.606074333190918,4.8419952392578125,10.348793029785156,-10.348793029785156,5.383100986480713,10.348793983459473,-10.348793983459473,48,979,,,,,,,,,,,
,,15.52511215209961,,,,,49,999,,,,,,,-10.112780570983887,5.4123311042785645,-15.52511215209961,-15.52511215209961,8.795190811157227
-5.606074333190918,4.570865631103516,10.264443397521973,-10.264443397521973,5.090071201324463,10.264443397521973,-10.264443397521973,49,999,,,,,,,,,,,
-5.606074333190918,4.628276824951172,10.112534523010254,-10.112534523010254,5.123533725738525,10.11253547668457,-10.11253547668457,50,1019,,,,,,,,,,,
-5.606074333190918,4.75006103515625,9.57764720916748,-9.57764720916748,5.317811965942383,9.57764720916748,-9.57764720916748,51,1039,40.09739685058594,0.045001983642578125,-5.953640460968018,0.34237140417099,40.09739685058594,0.045001983642578125,,,,,
,,15.76872730255127,,,,,52,1049,,,,,,,-9.814811706542969,5.953916072845459,-15.76872730255127,-15.76872730255127,5.446374416351318
-5.606074333190918,4.798603057861328,9.338302612304688,-9.338302612304688,5.295538425445557,9.338302612304688,-9.338302612304688,52,1059,,,,,,,,,,,
-5.606074333190918,4.965304851531982,10.224542617797852,-10.224542617797852,5.443969249725342,10.224542617797852,-10.224542617797852,53,1079,,,,,,,,,,,
,,16.143798828125,,,,,54,1099,,,,,,,-10.604876518249512,5.538922309875488,-16.143798828125,-16.143798828125,10.160400390625
-5.606074333190918,4.819870471954346,9.692618370056152,-9.692618370056152,5.3399529457092285,9.692618370056152,-9.692618370056152,54,1099,,,,,,,,,,,
-5.606074333190918,5.613803863525391,9.962043762207031,-9.962043762207031,6.11609411239624,9.962043762207031,-9.962043762207031,55,1119,,,,,,,,,,,
